"fips","trump","covid","pop","urban","poverty","seniors","income"
1001,1,3.95136778115502,55601,1,13.8,15.5626697361558,59338
1003,1,3.20839181367018,218022,1,9.8,20.4433497536946,57588
1005,1,4.31654676258993,24881,0,30.9,19.4204413005908,34382
1007,1,3.97321428571429,22400,1,21.8,16.4732142857143,46064
1009,1,3.73789764868603,57840,1,13.2,18.2365145228216,50412
1011,0,6.48056815940028,10138,0,42.5,16.3839021503255,29267
1013,1,5.22865853658537,19680,0,24.5,20.2997967479675,37365
1015,1,4.33245534972042,114277,1,19.5,17.7174759575418,45400
1017,1,4.24810352521196,33615,0,18.7,19.5210471515692,39917
1019,1,3.10387215734481,26032,0,16.3,22.9717271051014,42132
1021,1,4.44363916381673,44153,1,17.3,16.7848164337644,47547
1023,1,3.0838719725878,12841,0,22.1,22.9966513511409,39907
1025,1,5.89046822742475,23920,0,22.8,19.8704013377926,40741
1027,1,5.91337099811676,13275,0,17.6,20.7231638418079,39201
1029,1,3.93674517915527,14987,0,16,19.4501901648095,46495
1031,1,3.64676645668381,51909,0,13.8,16.9546706736789,55122
1033,1,4.26573171177094,54762,1,13.8,19.9298783828202,49055
1035,1,4.75686242567402,12277,0,24.4,22.4973527734789,32613
1037,1,2.12785814279048,10715,0,18.9,23.1544563695754,42423
1039,1,5.12356026604661,36986,0,19.9,21.0620234683394,40203
1041,1,4.52835648148148,13824,0,19.5,19.017650462963,39057
1043,1,3.493444548309,83442,0,14.5,18.5110615757053,45796
1045,1,3.99338181223956,48956,0,16.2,16.8927199934635,45309
1047,0,5.02218741842861,38310,0,31.4,18.0657791699295,34035
1049,1,5.2125796736009,71385,0,21.3,17.2613294109407,39491
1051,1,4.08123389549013,81887,1,11.2,15.1428187624409,60367
1053,1,4.85740720583433,36748,0,23.6,17.9492761510831,38418
1055,1,4.46629788977669,102501,1,17.5,19.0115218388113,44903
1057,1,3.74855473741861,16433,0,23.5,21.1282176109049,39254
1059,1,6.98912731562669,31363,0,19.2,16.8861397187769,39388
1061,1,3.74325454130881,26314,1,21.3,20.2971802082542,37823
1063,0,4.26333049921049,8233,0,30.1,22.3126442366088,28524
1065,0,5.4393589569469,14726,1,25.6,19.2109194621757,34724
1067,1,4.39886106107269,17209,1,17.9,22.7206694171654,46027
1069,1,4.14526078569928,104722,1,16.5,17.7985523576708,47993
1071,1,4.56741920519561,51736,0,19.7,20.0498685634761,41929
1073,0,3.75458819960564,659300,1,16.1,15.85727286516,55013
1075,1,3.85004334007512,13844,0,17.4,21.6555908696908,40936
1077,1,3.02856462489311,92387,1,14,20.0926537283384,48707
1079,1,2.90681797493704,32957,1,19.3,18.6637133234214,43909
1081,1,4.11672491933073,163941,1,19,11.8829334943669,48937
1083,1,3.29195000727847,96174,1,11.4,15.1891363570196,64863
1085,0,7.34910767996792,9974,1,25.1,18.8490074192902,33973
1087,0,3.1021205054504,18439,0,30.2,20.3698682141114,32495
1089,1,2.69917794166196,366519,1,11.9,15.0401479868711,63755
1091,0,5.60683939997902,19066,0,24,19.6003356760726,37733
1093,1,3.86385781003259,29763,0,20.2,21.2377784497531,37887
1095,1,4.80496103382618,96109,0,18.3,17.0379464982468,46233
1097,1,4.20681704478716,413757,1,20.8,16.202988710765,43598
1099,1,3.19931646651161,21067,0,21.9,20.292400436702,39556
1101,0,4.78997887164859,225763,1,20.1,15.1366698706165,49640
1103,1,3.85761909160376,119089,1,13.2,17.4684479674865,52797
1105,0,6.63019693654267,9140,0,35.3,19.4091903719912,26814
1107,1,4.73467750025078,19938,1,23.1,19.0239743203932,37586
1109,1,4.19641250224968,33338,0,23.6,14.9589057531946,37259
1111,1,3.83278327832783,22725,0,19.7,20.3520352035204,40546
