"","gid","y_start","y_end","lnpeaksize","left","nat","right","rel","EAP","ECA","LAC","MENA","NA","SAS","SSA","mul_bases","total_atks","nonterr_deaths","competitor","ly","lpop","polity","elevation","diversity","shr_trans","duration","dur2","lcomp","latks","polity2","polity2sqr","end"
"1",1,2003,2007,2.30258512496948,0,0,0,1,0,0,0,1,0,0,0,0,2,14,16.2,8.32934284210205,17.1368675231934,NA,312.0478,0,0,5,25,2.84490942955017,1.0986123085022,NA,NA,1
"2",2,1973,1982,4.60517024993896,1,0,0,0,0,0,1,0,0,0,0,0,43,69,1,8.75934314727783,17.9797840118408,-3,1110.936,0.64,0.6,10,100,0.6931471824646,3.78418970108032,7,49,1
"3",3,1977,1977,2.30258512496948,0,1,0,0,0,1,0,0,0,0,0,0,2,5,5,8.59808158874512,17.5317192077637,9,1167.001,0,0,1,1,1.7917594909668,1.0986123085022,19,361,1
"4",4,1975,1981,2.30258512496948,1,0,0,0,0,1,0,0,0,0,0,0,5,0,2.28571428571429,10.1161861419678,18.1733951568604,10,270.8496,0,1,7,49,1.18958401679993,1.7917594909668,20,400,1
"5",5,2008,NA,NA,0,0,0,1,0,0,0,1,0,0,0,0,1,0,20.4444444444444,NA,16.8535346984863,-7,513.9543,0,0,8,64,3.06546568870544,0.6931471824646,3,9,0
"6",6,2004,NA,4.60517024993896,0,0,0,1,0,0,0,1,0,0,0,1,17,43,10.2820512820513,8.2352933883667,16.9522342681885,-1.5,619.596866666667,0,0,12,144,2.42321300506592,2.89037179946899,8.5,72.25,0
"7",7,2004,2004,2.30258512496948,0,0,0,1,0,0,0,1,0,0,0,0,0,0,18,8.24068641662598,17.0857105255127,NA,312.0478,NA,NA,1,1,2.94443893432617,0,NA,NA,1
"8",8,2003,2007,2.30258512496948,0,0,0,1,0,1,0,0,0,0,0,1,11,197,7.7,10.4952125549316,17.7786464691162,10,433.60655,0,0,5,25,2.16332292556763,2.4849066734314,20,400,1
"9",9,1974,2002,4.60517024993896,0,1,0,0,0,0,0,1,0,0,0,1,47,239,4.04597697586207,8.72694301605225,16.5787792205811,-7.66666666666667,416.5485,0,0,29,841,1.61859130859375,3.8712010383606,2.33333325386047,5.44444417953491,1
"10",10,2011,NA,NA,0,0,0,1,0,0,0,1,0,0,0,0,1,0,11.3333333333333,8.80943012237549,15.6407222747803,0,423.6434,0,0,5,25,2.51230573654175,0.6931471824646,10,100,0
"11",11,1991,NA,6.90775537490845,0,0,0,1,1,0,0,0,0,0,0,0,336,341,7.23076923076923,7.61092710494995,18.3236389160156,8,441.9939,0.5,0,25,625,2.1078794002533,5.8200831413269,18,324,0
"12",12,1995,NA,4.60517024993896,0,1,0,0,1,0,0,0,0,1,0,1,1,5,25.0151515151515,6.18872213363647,19.7964038848877,2.66666666666667,469.9037,0,0,21,441,3.25867915153503,0.6931471824646,12.6666669845581,160.444458007812,0
